Country,Injury Severity,Aircraft Damage,Aircraft Category,Make,Model,Amateur Built,Engines Count,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Report Status,Event Date,Latitude,Longitude,Amateur Built Category,Total Passengers,Aircraft Damage Severity,Average Uninjured Rate,Average Fatality Rate,Average Serious Rate,Average Minor Rate,Month
United States,Non-Fatal,Substantial,Airplane,Mooney,M-20J,0,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-06,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Beech,V35,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-07,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,172M,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-08,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Piper,PA-28-140,0,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Probable Cause,1982-01-08,,,No,2.0,3,0.0,0.5,0.5,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,TU206G,0,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-08,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172N,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-08,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,P210N,0,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Probable Cause,1982-01-09,,,No,4.0,2,0.75,0.0,0.25,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-09,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,PA-34,0,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,1982-01-09,,,No,3.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Cessna,172N,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,1982-01-10,,,No,4.0,3,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Piper,23-250,0,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Probable Cause,1982-01-10,,,No,2.0,3,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Mooney,M20G,0,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Probable Cause,1982-01-10,,,No,2.0,3,0.0,0.5,0.5,0.0,1
